transaction_id,timestamp,customer_id,customer_segment,transaction_type,amount_ghs,currency,provider,channel,region,merchant_or_agent_id,recipient_id,device_id,status,failure_or_reversal_reason,balance_before_ghs,balance_after_ghs,customer_tenure_days,velocity_1h,device_changes_24h,failed_attempts_24h,risk_score
TXN000001,2026-08-03 18:24:00,CUST0159,Consumer,Cash-Out,21.52,GHS,KasaPay,Web,Greater Accra,MER042,RCP0007,DEV0034,SUCCESS,,2087.89,2066.37,554,3,1,0,33.7
TXN000002,2026-08-24 23:49:00,CUST0079,Microbusiness,Bill Payment,296.46,GHS,ApexMoney,USSD,Ashanti,,RCP0056,DEV0226,SUCCESS,,936.58,640.12,358,2,1,1,51.1
TXN000003,2026-08-21 07:00:00,CUST0069,Microbusiness,Merchant Payment,192.66,GHS,KasaPay,Mobile App,Eastern,MER011,RCP0071,DEV0257,SUCCESS,,349.85,157.19,2121,5,2,2,90.8
TXN000004,2026-08-14 14:31:00,CUST0097,Microbusiness,Merchant Payment,109.73,GHS,ApexMoney,POS,Ashanti,MER012,RCP0239,DEV0330,SUCCESS,,1433.49,1323.76,776,5,2,2,83.1
TXN000005,2026-08-14 10:09:00,CUST0180,Microbusiness,Bank Transfer,93.8,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0203,DEV0258,SUCCESS,,329.74,235.94,385,2,0,2,49.5
TXN000006,2026-08-27 14:47:00,CUST0073,Microbusiness,Merchant Payment,263.36,GHS,KasaPay,POS,Ashanti,MER059,RCP0091,DEV0085,SUCCESS,,1419.45,1156.09,1522,5,2,1,83.2
TXN000007,2026-08-03 15:56:00,CUST0275,Consumer,Cash-Out,228.06,GHS,SwiftCash,USSD,Ashanti,MER049,RCP0249,DEV0166,SUCCESS,,1493.25,1265.19,488,3,2,3,85.9
TXN000008,2026-08-22 14:50:00,CUST0144,Consumer,Merchant Payment,217.97,GHS,MobiLink,Mobile App,Greater Accra,MER067,RCP0217,DEV0200,SUCCESS,,246.88,28.91,1709,4,2,0,64.9
TXN000009,2026-08-07 05:53:00,CUST0259,Consumer,P2P Transfer,120.08,GHS,SwiftCash,Mobile App,Central,,RCP0065,DEV0443,FAILED,Validation Error,762.28,762.28,168,1,0,3,43.9
TXN000010,2026-08-03 22:04:00,CUST0205,Microbusiness,Cash-Out,60.53,GHS,MobiLink,POS,Greater Accra,MER056,RCP0124,DEV0240,SUCCESS,,885.93,825.4,1147,3,1,3,67.3
TXN000011,2026-08-17 07:42:00,CUST0101,Consumer,P2P Transfer,156.34,GHS,SwiftCash,Mobile App,Eastern,,RCP0239,DEV0286,SUCCESS,,3502.32,3345.98,895,1,0,2,36.9
TXN000012,2026-08-31 05:51:00,CUST0069,Consumer,P2P Transfer,162.98,GHS,SwiftCash,Web,Ashanti,,RCP0119,DEV0332,SUCCESS,,282.39,119.41,2105,5,0,1,69.2
TXN000013,2026-08-23 19:23:00,CUST0224,SME,Cash-In,69.27,GHS,ApexMoney,POS,Northern,MER043,RCP0097,DEV0164,SUCCESS,,1442.9,1512.17,1154,2,1,1,51.4
TXN000014,2026-08-24 14:17:00,CUST0100,Microbusiness,Cash-Out,60.43,GHS,SwiftCash,POS,Greater Accra,MER062,RCP0234,DEV0435,SUCCESS,,499.2,438.77,2036,2,0,1,39.6
TXN000015,2026-08-23 05:48:00,CUST0075,Consumer,Bank Transfer,213.43,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0172,DEV0304,FAILED,Insufficient Funds,194.22,194.22,558,4,0,0,40.8
TXN000016,2026-08-25 08:49:00,CUST0280,Microbusiness,P2P Transfer,335.12,GHS,ApexMoney,POS,Greater Accra,,RCP0115,DEV0382,SUCCESS,,450.34,115.22,1049,5,0,0,52.8
TXN000017,2026-08-16 21:50:00,CUST0145,Consumer,P2P Transfer,43.08,GHS,ApexMoney,API,Ashanti,,RCP0226,DEV0338,SUCCESS,,493.66,450.58,1793,2,1,2,63.4
TXN000018,2026-08-04 23:18:00,CUST0015,Consumer,Bill Payment,65.11,GHS,SwiftCash,Mobile App,Greater Accra,,RCP0193,DEV0280,SUCCESS,,222.7,157.59,365,4,0,2,68.0
TXN000019,2026-08-27 00:46:00,CUST0149,Consumer,P2P Transfer,109.76,GHS,SwiftCash,Mobile App,Central,,RCP0091,DEV0014,FAILED,Limit Exceeded,622.74,622.74,2042,4,2,1,73.1
TXN000020,2026-08-14 23:05:00,CUST0139,Microbusiness,P2P Transfer,123.18,GHS,MobiLink,Mobile App,Greater Accra,,RCP0110,DEV0263,SUCCESS,,1010.66,887.48,1703,3,2,1,52.3
TXN000021,2026-08-16 12:15:00,CUST0260,Consumer,P2P Transfer,52.25,GHS,MobiLink,Mobile App,Greater Accra,,RCP0013,DEV0059,SUCCESS,,589.13,536.88,1493,5,2,0,71.0
TXN000022,2026-08-12 11:52:00,CUST0214,Consumer,Cash-In,403.83,GHS,MobiLink,POS,Ashanti,MER030,RCP0027,DEV0272,PENDING,Awaiting Confirmation,328.2,328.2,546,1,2,3,67.1
